NM_UE,candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,bad,empty
MARANHÃO,SAID ZAIDAN,SAYD RODRIGUES ZAIDAN,SAYD ZAIDAN,,
MINAS GERAIS,CASINHA CARVALHO,RITA CASSIA SOUZA CARVALHO,CASSINHA CARVALHO,,
MATO GROSSO,ALAN ZANATA,ALAN FABIO PRADO ZANATTA,ALAN ZANATTA,,
MATO GROSSO,VALTERNIR PEREIRA,VALTENIR LUIZ PEREIRA,VALTENIR PEREIRA,,
MATO GROSSO,NILSON LEILAO,NILSON APARECIDO LEITAO,NILSON LEITAO,,
MATO GROSSO,ADILSON SACHETTI,ADILTON DOMINGOS SACHETTI,ADILTON SACHETTI,,
MATO GROSSO,ELISEU NASCIMENTO,ELIZEU FRANCISCO NASCIMENTO,ELIZEU NASCIMENTO,,
MATO GROSSO,LEANDRO FELIZ,LEANDRO FELIX PEREIRA,LEANDRO FELIX,,
MATO GROSSO,LAIR MOTA,LAYR MOTA SILVA,LAYR MOTA,,
ACRE,DAVI HALL,DAVID SOARES HALL,DAVID HALL,,
BRASIL,GUILHERME BOUOLOS,GUILHERME CASTRO BOULOS,GUILHERME BOULOS,,
MINAS GERAIS,TARCICIO,JOSE TARCISIO SANTOS,TARCISIO,,
MINAS GERAIS,PABLO LIIMA,PABLO LUIZ OLIVEIRA LIMA,PABLO LIMA,,
PIAUÍ,WLLINGTON DIAS,JOSE WELLINGTON BARROSO ARAUJO DIAS,WELLINGTON DIAS,,
RIO GRANDE DO SUL,LASTER MARTINS,LASIER COSTA MARTINS,LASIER MARTINS,,
SÃO PAULO,PAULO SKAFF,PAULO ANTONIO SKAF,PAULO SKAF,,
SÃO PAULO,LUIZ MARNHO,LUIZ MARINHO,LUIZ MARINHO,,
SÃO PAULO,PROFESSORA SILVIA FERRA,SILVIA ANDREA FERRARO,PROFESSORA SILVIA FERRARO,,
SÃO PAULO,JAIR ANDRONI,JAIR ANDREONI,JAIR ANDREONI,,
TOCANTINS,MARCELO MIIRANDA,MARCELO CARVALHO MIRANDA,MARCELO MIRANDA,,
TOCANTINS,CELCA,MARIA CONCEICAO SILVA OLIVEIRA,CEICA,,
NATAL,HERMANO MORAIS,HERMANO COSTA MORAES,HERMANO MORAES,,
SANTO ANTÔNIO DOS LOPES,TIAGO MENDONCA,THIAGO RAFAELL GOMES AIRES,THIAGO MENDONCA,,
RIO DE JANEIRO,LILIAN SA,LILIAM SA PAULA,LILIAM SA,,
PARAÍBA,LUZ COUTO,LUIZ ALBUQUERQUE COUTO,LUIZ COUTO,,
PARAÍBA,DANIELA RIBEIRO,DANIELLA VELLOSO BORGES RIBEIRO,DANIELLA RIBEIRO,,
SÃO PAULO,DRA. ELIANA FERREIRA,ELIANA LUCIA FERREIRA,DRA ELIANA FERREIRA,,
SÃO PAULO,NIVALDO ORLANI,NIVALDO ORLANDI,NIVALDO ORLANDI,,
BRASIL,JAIS BOLSONARO,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,,
MONTE SANTO,ARISON ANDRADE,ARISTON CORREIA ANDRADE,ARISTON ANDRADE,,
ARAIOSES,WELINGTON POSTO,WELITON ALVES FONTENELE,WELITON POSTO,,
BELA VISTA DO MARANHÃO,ZE ARTHUR,JOSE ARTUR FREITAS CORREIA,ZE ARTUR,,
TIMON,ALEANDRE ALMEIDA,ALEXANDRE VICENTE PAULA ALMEIDA,ALEXANDRE ALMEIDA,,
BOM REPOUSO,ALDEMO TICA TICA,ADELMO LUIZ SOUZA,ADELMO TICA TICA,,
CUIABÁ,MISSAEL GALVAO,MISAEL OLIVEIRA GALVAO,MISAEL GALVAO,,
COLÔNIA DO PIAUÍ,SELINO CARNEIRO,SELINDO MAURO CARNEIRO TAPETI,SELINDO CARNEIRO,,
LAGARTO,MARCELLO PSOL,MARCELIO OLIVEIRA FERNANDES,MARCELIO PSOL,,
GUARULHOS,GURI,GUSTAVO HENRIC COSTA,GUTI,1,
BELÉM,A JORDY,ARNALDO JORDY FIGUEIREDO,JORDY,,
MATO GROSSO,ICARO REVELLES,ICARO GIBRAN REVELES ANDRADE,ICARO REVELES,,
MATO GROSSO,NERI GUELLER,NERI GELLER,NERI GELLER,,
SALVADOR,MARCIO KERTESZ,MARIO MELLO KERTESZ,MARIO KERTESZ,,
SÃO CAETANO DO SUL,LUCIA DAL'MAS,LUCIA CRISTINA ROSARIO DAL MAS,LUCIA DAL MAS,,
BRASIL,AECIO NEVE,AECIO NEVES CUNHA,AECIO NEVES,,
CHUPINGUAIA,DRA SHEILA,SHEILA FLAVIA ANSELMO MOSSO,DRª SHEILA,,
VILHENA,ROSANI DANADON,ROSANI TEREZINHA PIRES COSTA DONADON,ROSANI DONADON,,
ALVORADA DO OESTE,PROF VALTER,JOSE WALTER SILVA,PROF WALTER,,
FLÓRIDA,EMERSON SETE,ANTONIO EMERSON SETTE,EMERSON SETTE,,
FLÓRIDA,ROGERIO,ROGERIO RODRIGUES REIS,ROGERINHO,,
PARANÁ,PROFESSOR JORGE BERNADI,JORGE LUIZ BERNARDI,PROFESSOR JORGE BERNARDI,,
BAHIA,JORGE VIANA,JORGE VIANNA DIAS SILVA,JORGE VIANNA,,
APARECIDA DE GOIÂNIA,GUSTAVO MENDANCA,GUSTAVO MENDANHA MELO,GUSTAVO MENDANHA,1,
CONTAGEM,JAMDER FILARETTI,JANDER MUNIZ FILARETTI,JANDER FILARETTI,,
LOUVEIRA,JULIANO GASPARINI,JULLIANO DOUGLAS GASPARINI,JULLIANO GASPARINI,,
CAMPO GRANDE,AROLDO FIGUERO,AROLDO ABUSSAFI FIGUEIRO,AROLDO FIGUEIRO,,
CAMPO GRANDE,ADALTO GARCIA,ADALTON GARCIA FREITAS,ADALTON GARCIA,,
CAMPO GRANDE,LAURO DAVID,LAURO SERGIO DAVI,LAURO DAVI,,
CAMPO GRANDE,DR CURRY,JOSE EDUARDO CURY,DR CURY,,
SINOP,DALTO MARTINI,DALTON BENONI MARTINI,DALTON MARTINI,,
ALTO ARAGUAIA,GUSTAVO MELLO,GUSTAVO MELO ANICEZIO,GUSTAVO MELO,,
MATO GROSSO DO SUL,NENO RAZAK,ROBERTO RAZUK FILHO,NENO RAZUK,,
ÁGUAS LINDAS DE GOIÁS,TULIO,MARCO TULIO PINTO SILVA,TULLIO,,
JAGUARIÚNA,DR DORA,MARIA AUXILIADORA ZANIN,DRA DORA,,
VILA PROPÍCIO,WALDINEI LEMOS,WALDILEI JOSE LEMOS,WALDILEI LEMOS,,
DISTRITO FEDERAL,ROBERIO NEGREIRO,ROBERIO BANDEIRA NEGREIROS FILHO,ROBERIO NEGREIROS,,
MARANHÃO,ALEXANDRA ALMEIDA,ALEXANDRE VICENTE PAULA ALMEIDA,ALEXANDRE ALMEIDA,1,
RIO DE JANEIRO,ENDRE MONTEIRO,LUIZ ANDRE MOURA MONTEIRO,ANDRE MONTEIRO,,
MAUÁ,DONIZETE BRAGA,DONISETE PEREIRA BRAGA,DONISETE BRAGA,,
PARANÁ,RODRIGO TAMAZINI,RODRIGO TOMAZINI DIAS,RODRIGO TOMAZINI,,
PARANÁ,JACQUE PARMEGIANI,JACQUELINE PARMIGIANI,JACQUE PARMIGIANI,,
BRASIL,GERALDO ACKMIN,GERALDO JOSE RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,,
SÃO JOÃO DEL REI,NILVALDO ANDRADE,NIVALDO JOSE ANDRADE,NIVALDO ANDRADE,,
UBERABA,PAULO PIAL,PAULO PIAU NOGUEIRA,PAULO PIAU,,
IGUATEMI,NEY,IVONEI FERREIRA SANTANA,NEI,1,
GUIA LOPES DA LAGUNA,NEI MARCAL,NEY ROBERTO SOUZA MARCAL,NEY MARCAL,1,
SERTÂNIA,GUGA LINZ,GUSTAVO MACIEL LINS ALBUQUERQUE,GUGA LINS,,
TABIRA,ZE BIRRA,JOSE UBIRAJARA VIEIRA JUCA FILHO,ZE BIRA,,
SERRA TALHADA,RONALDO DEJA,RONALDO ROMAO SOUSA,RONALDO DJA,,
SERRA TALHADA,ANDRE MAIA,CARLOS ANDRE PEREIRA SOUZA,ANDRE MAIO,,
SERRA TALHADA,EDMUNDO GAYA,EDMUNDO IZIDORIO ALVES,EDMUNDO GAIA,,
SERRA TALHADA,PERSIVAL GOMES,PESSIVAL GOMES PEREIRA,PESSIVAL GOMES,,
SERRA TALHADA,ROMERO CARRO SOM,ROMERIO SENA BRASIL,ROMERIO CARRO SOM,,
SERRA TALHADA,OTONI CANTARELI,OTONI CANTARELLI CARVALHO,OTONI CANTARELLI,,
PINHAIS,MARLI PAULINO,MARLY PAULINO FAGUNDES,MARLY PAULINO,,
SÃO LUÍS,EDINALDO NEVES,EDNALDO DARTAGNAN VERAS NEVES,EDNALDO NEVES,,
BALSAS,DR ERIC,ERIK AUGUSTO COSTA E SILVA,DR ERIK,,
CUIABÁ,VALTER ARRUDA,WALTER MARIA ARRUDA,WALTER ARRUDA,,
CUIABÁ,MARCOS FABRICIO,MARCUS FABRICIO NUNES SANTOS,MARCUS FABRICIO,,
CUIABÁ,PAOLA REIS,JULYENE PAOLA REIS,PAOLLA REIS,,
CUIABÁ,ALDEVAIR CABRAL,ADEVAIR BATISTA CABRAL,ADEVAIR CABRAL,,
DIAMANTINO,DARCY CAPISTRIANO,DARCY CAPISTRANO OLIVEIRA FILHO,DARCY CAPISTRANO,,
JUÍNA,ALTIR PERUZO,ALTIR ANTONIO PERUZZO,ALTIR PERUZZO,,
JUÍNA,DR EMILIO POPOLO,EMILIO POPULO SOUZA MACHADO,DR EMILIO POPULO,,
ROSÁRIO OESTE,LUIS FERNANDO,LUIZ FERNANDO ALEXANDRE,LUIZ FERNANDO,,
PIMENTA BUENO,EDMAR COSMO,EDIMAR COSMO SILVA,EDIMAR COSMO,,
BALNEÁRIO CAMBORIÚ,SILVIA MELO,SILVIA MELLO,SILVIA MELLO,,
BALNEÁRIO CAMBORIÚ,MARQUINHOS,MARCOS AUGUSTO KURTZ,MARQUINHO,,
MINEIROS,JUNIOR CINTRO CINCO,ARNALDO JOSE CARRIJO JUNIOR,JUNIOR CITRO CINCO,,
MINEIROS,DR IVANE,IVANE CAMPOS MENDONCA,DRA IVANE,,
QUIRINÓPOLIS,PAULO CESAR MARTINS,PAULO CEZAR MARTINS,PAULO CEZAR MARTINS,,
QUIRINÓPOLIS,ODAIR REZENDE,ODAIR RESENDE,ODAIR RESENDE,,
TORITAMA,EDJAN,EDIJAN ENILDO SILVA,EDIJAN,,
IBITIARA,NILTON MENESES,NILTON LOPES MENEZES SOBRINHO,NILTON MENEZES,,
PIMENTEIRAS,DR ARRAS,FRANCISCO ANTAO ARRAES CARVALHO,DR ARRAES,,
URÂNIA,MARIO ARJOL,MARCIO ARJOL DOMINGUES,MARCIO ARJOL,,
NITERÓI,SERGITO ZVEITER,SERGIO ZVEITER,SERGIO ZVEITER,,
ARARUAMA,MIGUEL GEOVANI,MIGUEL ALVES JEOVANI,MIGUEL JEOVANI,,
ARARUAMA,DR DANIELA CAMARGO,DANIELA CAMARGO OLIVEIRA,DRª DANIELA CAMARGO,,
ARARUAMA,SEGINHO,SERGIO CUNHA ANDRADE,SERGINHO,,
SÃO GONÇALO,DIEGAO SAO PAIO,DIEGO ROMERO SAO PAIO MENEZES,DIEGO SAO PAIO,,
MANAUS,LUIS NAVARRO,LUIZ MANOEL NAVARRO,LUIZ NAVARRO,,
TUNTUM,ANA ISABEL,ANA IZABEL FERNANDES E SILVA,ANA IZABEL,,
VITORINO FREIRE,MAGARETH BRINGEL,MARGARETH ROSE MARTINS BRINGEL,MARGARETH BRINGEL,,
ALCÂNTARA,ARAKEM,DOMINGOS SANTANA CUNHA JUNIOR,ARAKEN,,
GUARULHOS,WAGNER FREITA,WAGNE FREITAS MOREIRA,WAGNER FREITAS,,
SANTOS,MANUEL CONSTANTINO,MANOEL CONSTANTINO SANTOS,MANOEL CONSTANTINO,,
CUBATÃO,DINHO HELIODOR,ADEILDO HELIODORO SANTOS,DINHO HELIODORO,,
CUBATÃO,IVAM HILDEBRANDO,IVAN SILVA,IVAN HILDEBRANDO,,
CUBATÃO,TONINHO VIERA,ANTONIO VIEIRA SILVA,TONINHO VIEIRA,,
PIRAPORA DO BOM JESUS,ADENILSON MARCENEIRO,ADEMILSON MIGUEL FERNANDES,ADEMILSON MARCENEIRO,,
SÃO LUÍS,EDIMAR GOMES,EIDIMAR GOMES RODRIGUES,EIDIMAR GOMES,,
SÃO LUÍS,PAULO LUIS,PAULO LUIZ SILVA PEREIRA,PAULO LUIZ,,
SÃO LUÍS,CESAR BOMBEIRO,CEZAR CASTRO LOPES,CEZAR BOMBEIRO,,
MATA ROMA,CARMEN NETO,CARMEM SILVA LIRA NETO,CARMEM NETO,,
CAJAZEIRAS,MARCOS RIACHO MELO,MARCOS ANTONIO GOMES SILVA,MARCOS RIACHO MEIO,,
CAJAZEIRAS,DELZINHO,JOSE GONCALVES ALBUQUERQUE,DEOZINHO,,
POMBAL,MAYENE VAN,MAYENNE VAN BANDEIRA LACERDA,MAYENNE VAN,,
JERICÓ,NETO,JOAO NETO ALVES OLIVEIRA,"NETO,",,
BREJO DA MADRE DE DEUS,EMILIANO BAGACEIRA,ELIANO JOSE SOUZA,ELIANO BAGACEIRA,,
BREJO DA MADRE DE DEUS,FABIOA ARAUJO,JOSE FABIO ARAUJO,FABIO ARAUJO,,
SANTA TEREZINHA DE ITAIPU,CLAUDIO EBARHARD,CLAUDIO DIRCEU EBERHARD,CLAUDIO EBERHARD,,
TUNEIRAS DO OESTE,NILSON POLICIAL,NILSON BARBOSA SOUZA,NILSON POLICIA,,
GUAPOREMA,MARCAO BARRONCO,CELIO MARCOS BARRANCO,MARCAO BARRANCO,,
VILHENA,CELIA BATISTA,CELIO BATISTA,CELIO BATISTA,,
VILHENA,ROSANE DONADON,ROSANI TEREZINHA PIRES COSTA DONADON,ROSANI DONADON,,
ABELARDO LUZ,ALTAR LAVRATTI,ALTAIR LAVRATTI,ALTAIR LAVRATTI,,
PALMAS,SAEGENTO ARAGAO,MANOEL ARAGAO SILVA,SARGENTO ARAGAO,,
CORUMBÁ,PROF MONJE,MARCO ANTONIO OLIVA MONJE,PROFº MONJE,,
CAMPO GRANDE,REINALDO AZMBUJA,REINALDO AZAMBUJA SILVA,REINALDO AZAMBUJA,,
CAMPO GRANDE,HAROLDO FIGUEIRO,AROLDO ABUSSAFI FIGUEIRO,AROLDO FIGUEIRO,,
MACAÍBA,SILVAN,SILVANIA OLIVEIRA RODRIGUES,SILVANIA,,
MACAÍBA,ALUISIO SILVIO,ALUIZIO SILVIO SOARES,ALUIZIO SILVIO,,
MACAÍBA,AMARANTES,FRANCISCO AMARANTE GOMES FERREIRA,AMARANTE,,
ALTO DO RODRIGUES,EIDER MEDEIRO,EIDER ASSIS MEDEIROS,EIDER MEDEIROS,,
SANTA CRUZ,ANINHA,EDJANE FERNANDES SILVA,JANINHA,,
SANTA CRUZ,MARCOS CELITO,MARCO CELITO COSTA,MARCO CELITO,,
SANTA CRUZ,LUCICLAUDIA,JOSE LUCICLAUDIO BEZERRA,LUCICLAUDIO,,
SANTA CRUZ,ARI,ARINALDO SILVA GOMES,ARY,,
MACAU,CHAMPIRRA,FRANCISCO BATISTA BEZERRA,CHAMPIRA,,
MACAU,IRMAO WAGNER,VAGNER SOUSA SILVA,IRMAO VAGNER,,
MACAU,ARI MARCOS,ARI MARCUS COSTA CAMARA,ARI MARCUS,,
PAU DOS FERROS,BRAULIO FIGUEREIDO,BRAULIO HENRIQUE VILACA FIGUEIREDO,BRAULIO FIGUEIREDO,,
